Tue Apr 19 15:03:28 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 15:05:04 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 15:05:24 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 15:06:47 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 15:12:22 BST 2016 Temp = 20 *C, Hum = 20 %
Tue Apr 19 15:17:31 BST 2016 Temp = 32 *C, Hum = 8 %
Tue Apr 19 15:22:32 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 16:24:38 BST 2016 Temp = 20 *C, Hum = 20 %
Tue Apr 19 16:25:14 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 16:26:54 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 16:30:26 BST 2016 Temp = 76 *C, Hum = 114 %
Tue Apr 19 16:30:49 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 16:31:45 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 16:31:51 BST 2016 Temp = 20 *C, Hum = 20 %
Tue Apr 19 16:34:52 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 16:42:41 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 16:43:24 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 16:45:15 BST 2016 Temp = 20 *C, Hum = 20 %
Tue Apr 19 16:46:38 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 16:48:57 BST 2016 Temp = 76 *C, Hum = 114 %
Tue Apr 19 16:56:04 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 16:58:31 BST 2016 Temp = 20 *C, Hum = 20 %
Tue Apr 19 17:01:53 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 17:04:36 BST 2016 Temp = 20 *C, Hum = 20 %
Tue Apr 19 17:05:05 BST 2016 Temp = 20 *C, Hum = 20 %
Tue Apr 19 17:09:05 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 17:09:32 BST 2016 Temp = 21 *C, Hum = 20 %
